Family	Mapped	Family_name	Genes	Molecular_function	Bio_process	Cell_component	Protein_class	Interpro
PTHR30006:SF15	VIBCH|EnsemblGenome=VC_0608|UniProtKB=Q9KUB5	SUBFAMILY NOT NAMED	8					
PTHR37422:SF7	VIBCH|EnsemblGenome=VC_0931|UniProtKB=Q9KTH1	SUBFAMILY NOT NAMED	22					
PTHR21089:SF22	VIBCH|EnsemblGenome=VC_0056|UniProtKB=Q9KVT3	SHIKIMATE DEHYDROGENASE (NADP(+))	12	"cofactor binding(GO:0048037);nucleotide binding(GO:0000166);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616)"	carboxylic acid biosynthetic process(GO:0046394);monocarboxylic acid metabolic process(GO:0032787);organic hydroxy compound metabolic process(GO:1901615)	cytosol(GO:0005829)		
PTHR33695:SF1	VIBCH|EnsemblGenome=VC_0683|UniProtKB=Q9KU46	LIPOPROTEIN SIGNAL PEPTIDASE	38				aspartic protease(PC00053)	
PTHR42921:SF1	VIBCH|EnsemblGenome=VC_A0829|UniProtKB=Q9KLB7	ACETOACETYL-COA SYNTHETASE	57	ligase activity(GO:0016874);oxidoreductase activity(GO:0016491)	cellular amino acid biosynthetic process(GO:0008652);coenzyme metabolic process(GO:0006732);fatty acid metabolic process(GO:0006631)		dehydrogenase(PC00092);ligase(PC00142)	
PTHR36999:SF1	VIBCH|EnsemblGenome=VC_1141|UniProtKB=Q9KSW5	SUBFAMILY NOT NAMED	12					
PTHR11280:SF5	VIBCH|EnsemblGenome=VC_A1025|UniProtKB=Q9KKS5	GLUCOSAMINE-6-PHOSPHATE ISOMERASE	54	hydrolase activity(GO:0016787);identical protein binding(GO:0042802)	amino sugar catabolic process(GO:0046348);carboxylic acid catabolic process(GO:0046395);drug metabolic process(GO:0017144);nucleotide-sugar biosynthetic process(GO:0009226);phosphorus metabolic process(GO:0006793)	cytoplasm(GO:0005737)	hydrolase(PC00121);isomerase(PC00135)	
PTHR43155:SF1	VIBCH|EnsemblGenome=VC_A0681|UniProtKB=Q9KLR1	SUBFAMILY NOT NAMED	5	cyclic-nucleotide phosphodiesterase activity(GO:0004112)	cyclic nucleotide metabolic process(GO:0009187);nucleotide catabolic process(GO:0009166)			
PTHR23105:SF54	VIBCH|EnsemblGenome=VC_0325|UniProtKB=Q9KV33	RIBOSOMAL PROTEIN L1P/L10E FAMILY	42				ribosomal protein(PC00202)	
PTHR43148:SF3	VIBCH|EnsemblGenome=VC_0476|UniProtKB=P0C6C2	D-ERYTHROSE-4-PHOSPHATE DEHYDROGENASE	6	cofactor binding(GO:0048037);nucleotide binding(GO:0000166);oxidoreductase activity(GO:0016491)	glucose metabolic process(GO:0006006)	cytosol(GO:0005829)	dehydrogenase(PC00092)	
PTHR42984:SF2	VIBCH|EnsemblGenome=VC_1509|UniProtKB=Q9KRX4	"NAD-DEPENDENT PROTEIN DEACYLASE SIRTUIN-5, MITOCHONDRIAL"	73	chromatin binding(GO:0003682);hydrolase activity(GO:0016787);nucleic acid binding(GO:0003676)	regulation of transcription by RNA polymerase II(GO:0006357);transcription by RNA polymerase II(GO:0006366)		chromatin/chromatin-binding protein(PC00077);deacetylase(PC00087)	
PTHR38102:SF1	VIBCH|EnsemblGenome=VC_2691|UniProtKB=Q9KNP0	PERIPLASMIC CHAPERONE SPY	7					
PTHR33279:SF7	VIBCH|EnsemblGenome=VC_2163|UniProtKB=Q9KQ41	SUBFAMILY NOT NAMED	5					
PTHR30009:SF4	VIBCH|EnsemblGenome=VC_0995|UniProtKB=Q9KTA8	PTS SYSTEM N-ACETYLGLUCOSAMINE-SPECIFIC EIICBA COMPONENT	13					
PTHR43297:SF4	VIBCH|EnsemblGenome=VC_1683|UniProtKB=Q9KRF9	PUTRESCINE EXPORT SYSTEM ATP-BINDING PROTEIN SAPD	6	"ATPase activity, coupled to transmembrane movement of substances(GO:0042626)"	amino acid transport(GO:0006865);carbohydrate metabolic process(GO:0005975);carbohydrate transport(GO:0008643);cellular amino acid metabolic process(GO:0006520);phosphate-containing compound metabolic process(GO:0006796)		ATP-binding cassette (ABC) transporter(PC00003)	
PTHR43825:SF3	VIBCH|EnsemblGenome=VC_2414|UniProtKB=Q9KPF4	PYRUVATE DEHYDROGENASE E1 COMPONENT	18	lyase activity(GO:0016829);oxidoreductase activity(GO:0016491);transferase activity(GO:0016740)	cellular amino acid catabolic process(GO:0009063);lipid metabolic process(GO:0006629);monosaccharide metabolic process(GO:0005996)		dehydrogenase(PC00092);lyase(PC00144);transketolase(PC00221)	
PTHR10046:SF46	VIBCH|EnsemblGenome=VC_A0975|UniProtKB=Q9KKX5	SUBFAMILY NOT NAMED	8				serine protease(PC00203)	
PTHR30136:SF24	VIBCH|EnsemblGenome=VC_A0029|UniProtKB=Q9KND6	HTH-TYPE TRANSCRIPTIONAL REPRESSOR ALLR	31	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	"negative regulation of transcription, DNA-templated(GO:0045892);transcription, DNA-templated(GO:0006351)"		winged helix/forkhead transcription factor(PC00246)	
PTHR13718:SF61	VIBCH|EnsemblGenome=VC_2579|UniProtKB=Q9KP01	"37S RIBOSOMAL PROTEIN S5, MITOCHONDRIAL"	126	structural constituent of ribosome(GO:0003735)		cytosolic small ribosomal subunit(GO:0022627)	ribosomal protein(PC00202)	
PTHR10192:SF26	VIBCH|EnsemblGenome=VC_A0617|UniProtKB=Q9KLX4	MOLYBDOPTERIN MOLYBDENUMTRANSFERASE	10	adenylyltransferase activity(GO:0070566);phosphorus-oxygen lyase activity(GO:0016849)	cellular protein modification process(GO:0006464);coenzyme biosynthetic process(GO:0009108);heterocycle biosynthetic process(GO:0018130);organic cyclic compound biosynthetic process(GO:1901362);organonitrogen compound biosynthetic process(GO:1901566);organophosphate biosynthetic process(GO:0090407);purine ribonucleoside triphosphate metabolic process(GO:0009205);purine ribonucleotide metabolic process(GO:0009150)	cytosol(GO:0005829)		
PTHR11070:SF23	VIBCH|EnsemblGenome=VC_2320|UniProtKB=Q9KPP6	RECBCD ENZYME SUBUNIT RECB	14	3'-5' DNA helicase activity(GO:0043138);ATP binding(GO:0005524);ATP-dependent DNA helicase activity(GO:0004003)		catalytic complex(GO:1902494);intracellular part(GO:0044424)		
PTHR43406:SF1	VIBCH|EnsemblGenome=VC_1169|UniProtKB=Q9KST7	"TRYPTOPHAN SYNTHASE ALPHA CHAIN, CHLOROPLASTIC"	80	hydro-lyase activity(GO:0016836)	aromatic compound biosynthetic process(GO:0019438);cellular amino acid biosynthetic process(GO:0008652);cellular nitrogen compound biosynthetic process(GO:0044271);heterocycle biosynthetic process(GO:0018130);organic cyclic compound biosynthetic process(GO:1901362)	chloroplast(GO:0009507)	deaminase(PC00088);dehydratase(PC00091);epimerase/racemase(PC00096)	
PTHR30100:SF1	VIBCH|EnsemblGenome=VC_2024|UniProtKB=Q9KQH4	PHOSPHATE ACYLTRANSFERASE	30					
PTHR30294:SF2	VIBCH|EnsemblGenome=VC_1609|UniProtKB=Q9KRM7	SUBFAMILY NOT NAMED	6	transmembrane transporter activity(GO:0022857)	cellular process(GO:0009987)	integral component of membrane(GO:0016021);plasma membrane(GO:0005886)	ATP-binding cassette (ABC) transporter(PC00003)	
PTHR30126:SF6	VIBCH|EnsemblGenome=VC_1907|UniProtKB=Q9KQU1	HTH-TYPE TRANSCRIPTIONAL REGULATOR CYSB-RELATED	10					
PTHR43514:SF9	VIBCH|EnsemblGenome=VC_A0724|UniProtKB=Q9KLL9	MOLYBDENUM IMPORT ATP-BINDING PROTEIN MODC	10				ATP-binding cassette (ABC) transporter(PC00003)	
PTHR43687:SF1	VIBCH|EnsemblGenome=VC_1516|UniProtKB=Q9KRW8	SUBFAMILY NOT NAMED	31					
PTHR43792:SF7	VIBCH|EnsemblGenome=VC_1309|UniProtKB=Q9KSE8	RIBOSOMAL-PROTEIN-ALANINE ACETYLTRANSFERASE	16	peptide alpha-N-acetyltransferase activity(GO:0004596)		cytoplasm(GO:0005737)		
PTHR10772:SF24	"VIBCH|EnsemblGenome=VC_2665|UniProtKB=Q9KNR6,VIBCH|EnsemblGenome=VC_A0819|UniProtKB=Q9KLC7"	10 KDA CHAPERONIN	40	chaperone binding(GO:0051087);metal ion binding(GO:0046872);unfolded protein binding(GO:0051082)	chaperone-mediated protein folding(GO:0061077)		chaperonin(PC00073)	
PTHR37426:SF1	VIBCH|EnsemblGenome=VC_0187|UniProtKB=Q9KVF9	RIBOSOMAL RNA LARGE SUBUNIT METHYLTRANSFERASE J	10	RNA methyltransferase activity(GO:0008173);S-adenosylmethionine-dependent methyltransferase activity(GO:0008757)	rRNA base methylation(GO:0070475)	cytosol(GO:0005829)		
PTHR43137:SF1	VIBCH|EnsemblGenome=VC_A0925|UniProtKB=Q9KL24	DIHYDROOROTASE	72	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds(GO:0016810)"	nucleotide biosynthetic process(GO:0009165);organonitrogen compound biosynthetic process(GO:1901566);pyrimidine nucleobase metabolic process(GO:0006206);pyrimidine nucleotide metabolic process(GO:0006220)		metalloprotease(PC00153)	
PTHR43423:SF2	VIBCH|EnsemblGenome=VC_0726|UniProtKB=Q9KU04	SUBFAMILY NOT NAMED	4	"ATPase activity, coupled to transmembrane movement of substances(GO:0042626)"	amino acid transport(GO:0006865);carbohydrate metabolic process(GO:0005975);carbohydrate transport(GO:0008643);cellular amino acid metabolic process(GO:0006520);phosphate-containing compound metabolic process(GO:0006796)		ATP-binding cassette (ABC) transporter(PC00003)	
PTHR33121:SF51	VIBCH|EnsemblGenome=VC_1086|UniProtKB=Q9KT19	SUBFAMILY NOT NAMED	3					
PTHR30425:SF1	VIBCH|EnsemblGenome=VC_A0071|UniProtKB=Q9KN94	PHOSPHATE TRANSPORT SYSTEM PERMEASE PROTEIN PSTC	33				transporter(PC00227)	
PTHR38785:SF1	VIBCH|EnsemblGenome=VC_1317|UniProtKB=Q9KSE0	SUBFAMILY NOT NAMED	8					
PTHR31088:SF6	VIBCH|EnsemblGenome=VC_1678|UniProtKB=Q9KRG4	"MEMBRANE-ASSOCIATED PROTEIN VIPP1, CHLOROPLASTIC"	66			cytosol(GO:0005829)		
PTHR42938:SF3	VIBCH|EnsemblGenome=VC_2108|UniProtKB=Q9KQ92	ERYTHRONATE-4-PHOSPHATE DEHYDROGENASE	8	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616)"			dehydrogenase(PC00092)	
PTHR11811:SF25	VIBCH|EnsemblGenome=VC_A0898|UniProtKB=Q9KL50	"6-PHOSPHOGLUCONATE DEHYDROGENASE, DECARBOXYLATING"	152	oxidoreductase activity(GO:0016491)	monosaccharide metabolic process(GO:0005996)		dehydrogenase(PC00092)	
PTHR31620:SF5	VIBCH|EnsemblGenome=VC_2004|UniProtKB=Q9KQJ4	SUBFAMILY NOT NAMED	7					
PTHR46118:SF4	VIBCH|EnsemblGenome=VC_2097|UniProtKB=Q9KQA3	PROTEIN ABHD11	54					
PTHR21327:SF42	VIBCH|EnsemblGenome=VC_1263|UniProtKB=Q9KSJ3	SUBFAMILY NOT NAMED	2	lyase activity(GO:0016829)	cellular nitrogen compound biosynthetic process(GO:0044271);drug metabolic process(GO:0017144);heterocycle biosynthetic process(GO:0018130);organic cyclic compound biosynthetic process(GO:1901362);organonitrogen compound biosynthetic process(GO:1901566);small molecule biosynthetic process(GO:0044283)	cytosol(GO:0005829)		
PTHR30437:SF6	VIBCH|EnsemblGenome=VC_2715|UniProtKB=Q9KNL7	TRANSCRIPTION ELONGATION FACTOR GREB	12		"DNA-templated transcription, elongation(GO:0006354)"			
PTHR22777:SF26	VIBCH|EnsemblGenome=VC_0959|UniProtKB=Q9KTE3	MAGNESIUM AND COBALT EFFLUX PROTEIN CORC	18			plasma membrane(GO:0005886)		
PTHR45987:SF4	VIBCH|EnsemblGenome=VC_0327|UniProtKB=Q9KV31	"50S RIBOSOMAL PROTEIN L12-1, CHLOROPLASTIC-RELATED"	91				ribosomal protein(PC00202)	
PTHR42648:SF11	VIBCH|EnsemblGenome=VC_0817|UniProtKB=Q9KTS1	SUBFAMILY NOT NAMED	47					
PTHR42781:SF2	VIBCH|EnsemblGenome=VC_A0602|UniProtKB=Q9KLY9	SUBFAMILY NOT NAMED	19					
PTHR35146:SF1	VIBCH|EnsemblGenome=VC_0881|UniProtKB=Q9KTM1	UPF0178 PROTEIN YAII	16					
PTHR34388:SF1	VIBCH|EnsemblGenome=VC_0953|UniProtKB=Q9KTE9	DNA POLYMERASE III SUBUNIT DELTA	34					
PTHR11117:SF2	VIBCH|EnsemblGenome=VC_2084|UniProtKB=Q9KQB6	"SUCCINATE--COA LIGASE [ADP/GDP-FORMING] SUBUNIT ALPHA, MITOCHONDRIAL"	159	"kinase activity(GO:0016301);ligase activity, forming carbon-sulfur bonds(GO:0016877);phosphotransferase activity, phosphate group as acceptor(GO:0016776)"	acyl-CoA metabolic process(GO:0006637);nucleoside triphosphate biosynthetic process(GO:0009142);nucleotide phosphorylation(GO:0046939);tricarboxylic acid cycle(GO:0006099)	cytosol(GO:0005829)		
PTHR42770:SF6	VIBCH|EnsemblGenome=VC_A1062|UniProtKB=Q9KKP0	PUTRESCINE TRANSPORTER POTE	5	amino acid transmembrane transporter activity(GO:0015171)	cellular process(GO:0009987)	integral component of membrane(GO:0016021);plasma membrane(GO:0005886)	amino acid transporter(PC00046)	
PTHR13501:SF8	VIBCH|EnsemblGenome=VC_2591|UniProtKB=Q9KNY9	"39S RIBOSOMAL PROTEIN L22, MITOCHONDRIAL"	135	structural constituent of ribosome(GO:0003735)	organelle assembly(GO:0070925);ribonucleoprotein complex assembly(GO:0022618);ribosome biogenesis(GO:0042254)	large ribosomal subunit(GO:0015934)	ribosomal protein(PC00202)	
PTHR30492:SF0	VIBCH|EnsemblGenome=VC_A0711|UniProtKB=Q9KLN2	METHYLGLYOXAL SYNTHASE	14	carbon-oxygen lyase activity(GO:0016835)	cellular biosynthetic process(GO:0044249);organic substance biosynthetic process(GO:1901576);small molecule biosynthetic process(GO:0044283)	cytosol(GO:0005829)	oxidoreductase(PC00176)	
PTHR34476:SF1	VIBCH|EnsemblGenome=VC_2709|UniProtKB=Q9KNM3	DNA-DIRECTED RNA POLYMERASE SUBUNIT OMEGA	23					
PTHR32338:SF8	VIBCH|EnsemblGenome=VC_2644|UniProtKB=Q9KNT6	N-ACETYL-GAMMA-GLUTAMYL-PHOSPHATE REDUCTASE	26					
PTHR30006:SF2	VIBCH|EnsemblGenome=VC_A0603|UniProtKB=Q9KLY8	SUBFAMILY NOT NAMED	17					
PTHR32024:SF2	VIBCH|EnsemblGenome=VC_2756|UniProtKB=Q9KNI3	TRK SYSTEM POTASSIUM UPTAKE PROTEIN TRKG-RELATED	18					
PTHR42810:SF2	VIBCH|EnsemblGenome=VC_2712|UniProtKB=Q9KNM0	XANTHINE PERMEASE XANP	30	nucleobase transmembrane transporter activity(GO:0015205)	purine nucleobase transport(GO:0006863)	integral component of plasma membrane(GO:0005887)	transporter(PC00227)	
PTHR43742:SF4	VIBCH|EnsemblGenome=VC_1692|UniProtKB=Q9KRF0	TRIMETHYLAMINE-N-OXIDE REDUCTASE 1	4	electron transfer activity(GO:0009055);transition metal ion binding(GO:0046914)	anaerobic respiration(GO:0009061)	outer membrane-bounded periplasmic space(GO:0030288);plasma membrane(GO:0005886)	dehydrogenase(PC00092);reductase(PC00198)	
PTHR32507:SF7	VIBCH|EnsemblGenome=VC_2703|UniProtKB=Q9KNM9	K(+)/H(+) ANTIPORTER NHAP2	15					
PTHR15892:SF2	VIBCH|EnsemblGenome=VC_2578|UniProtKB=Q9KP02	"39S RIBOSOMAL PROTEIN L30, MITOCHONDRIAL"	120					
PTHR43771:SF1	VIBCH|EnsemblGenome=VC_0242|UniProtKB=Q06951	PHOSPHOMANNOMUTASE	12			cytosol(GO:0005829)	glycosyltransferase(PC00111);mutase(PC00160)	
PTHR41542:SF1	VIBCH|EnsemblGenome=VC_1964|UniProtKB=Q9KQN4	SUBFAMILY NOT NAMED	5					
PTHR18952:SF131	VIBCH|EnsemblGenome=VC_A0274|UniProtKB=Q9KMP6	SUBFAMILY NOT NAMED	44					
PTHR38973:SF2	VIBCH|EnsemblGenome=VC_A1114|UniProtKB=Q9KKJ3	SUBFAMILY NOT NAMED	2					
PTHR43783:SF1	VIBCH|EnsemblGenome=VC_2514|UniProtKB=Q9KP62	UDP-N-ACETYLGLUCOSAMINE 1-CARBOXYVINYLTRANSFERASE	62				kinase(PC00137)	
PTHR34848:SF1	VIBCH|EnsemblGenome=VC_1239|UniProtKB=Q9KSL7	BIFUNCTIONAL ADENOSYLCOBALAMIN BIOSYNTHESIS PROTEIN COBU	20					
PTHR39579:SF1	VIBCH|EnsemblGenome=VC_0567|UniProtKB=Q9KUF4	INNER MEMBRANE PROTEIN YHCB	6					
PTHR30325:SF0	VIBCH|EnsemblGenome=VC_A0589|UniProtKB=Q9KM00	INNER MEMBRANE ABC TRANSPORTER PERMEASE PROTEIN YEJE	9		antibiotic transport(GO:0042891);peptide transport(GO:0015833)		ATP-binding cassette (ABC) transporter(PC00003)	
PTHR43708:SF4	VIBCH|EnsemblGenome=VC_A1048|UniProtKB=Q9KKQ4	OXIDOREDUCTASE YCEM-RELATED	7	oxidoreductase activity(GO:0016491)			dehydrogenase(PC00092)	
PTHR22683:SF41	VIBCH|EnsemblGenome=VC_1903|UniProtKB=Q84I33	DNA TRANSLOCASE FTSK	38	nucleic acid binding(GO:0003676)	cell cycle(GO:0007049)		nucleic acid binding(PC00171)	
PTHR30485:SF2	VIBCH|EnsemblGenome=VC_A0716|UniProtKB=Q9KLM7	SUBFAMILY NOT NAMED	3	electron transfer activity(GO:0009055)	respiratory electron transport chain(GO:0022904);transport(GO:0006810)	plasma membrane(GO:0005886)		
PTHR43822:SF9	VIBCH|EnsemblGenome=VC_2492|UniProtKB=Q9KP81	3-ISOPROPYLMALATE DEHYDRATASE	41					
PTHR33705:SF1	VIBCH|EnsemblGenome=VC_0966|UniProtKB=Q9KTD6	PHOSPHOCARRIER PROTEIN HPR	10					
PTHR30625:SF12	VIBCH|EnsemblGenome=VC_1546|UniProtKB=Q9KRT9	SUBFAMILY NOT NAMED	2		protein import(GO:0017038)	integral component of plasma membrane(GO:0005887)		
PTHR37945:SF1	VIBCH|EnsemblGenome=VC_1523|UniProtKB=Q9KRW1	SUBFAMILY NOT NAMED	10					
PTHR10744:SF1	VIBCH|EnsemblGenome=VC_2587|UniProtKB=Q9KNZ3	"37S RIBOSOMAL PROTEIN S17, MITOCHONDRIAL"	103	structural constituent of ribosome(GO:0003735)		cytosolic small ribosomal subunit(GO:0022627)	ribosomal protein(PC00202)	
PTHR43031:SF1	VIBCH|EnsemblGenome=VC_A0100|UniProtKB=Q9KN65	SUBFAMILY NOT NAMED	25	oxidoreductase activity(GO:0016491)	nitrogen compound metabolic process(GO:0006807);respiratory electron transport chain(GO:0022904)		dehydrogenase(PC00092);oxidase(PC00175);reductase(PC00198)	
PTHR42788:SF7	VIBCH|EnsemblGenome=VC_1103|UniProtKB=Q9KT02	SUBFAMILY NOT NAMED	15				ATP-binding cassette (ABC) transporter(PC00003)	
PTHR43875:SF1	VIBCH|EnsemblGenome=VC_1552|UniProtKB=Q9KRT4	SN-GLYCEROL-3-PHOSPHATE IMPORT ATP-BINDING PROTEIN UGPC	33			catalytic complex(GO:1902494);plasma membrane protein complex(GO:0098797);transmembrane transporter complex(GO:1902495)	ATP-binding cassette (ABC) transporter(PC00003)	
PTHR33473:SF11	VIBCH|EnsemblGenome=VC_1143|UniProtKB=Q9KSW3	ATP-DEPENDENT CLP PROTEASE ADAPTER PROTEIN CLPS	18	chaperone binding(GO:0051087)				
PTHR11070:SF54	VIBCH|EnsemblGenome=VC_A0717|UniProtKB=Q9KLM6	DNA HELICASE IV	12	3'-5' DNA helicase activity(GO:0043138);ATP binding(GO:0005524);ATP-dependent DNA helicase activity(GO:0004003)				
PTHR33993:SF1	"VIBCH|EnsemblGenome=VC_A0415|UniProtKB=Q9KME5,VIBCH|EnsemblGenome=VC_A0338|UniProtKB=Q9KMK3"	SUBFAMILY NOT NAMED	6					
PTHR38443:SF2	"VIBCH|EnsemblGenome=VC_A0883|UniProtKB=Q9KL64,VIBCH|EnsemblGenome=VC_A0884|UniProtKB=Q9KL63"	SUBFAMILY NOT NAMED	9					
PTHR30294:SF28	VIBCH|EnsemblGenome=VC_1608|UniProtKB=Q9KRM8	SUBFAMILY NOT NAMED	6	transmembrane transporter activity(GO:0022857)	cellular process(GO:0009987)	integral component of membrane(GO:0016021);plasma membrane(GO:0005886)	ATP-binding cassette (ABC) transporter(PC00003)	
PTHR30290:SF30	"VIBCH|EnsemblGenome=VC_A0578|UniProtKB=Q9KM11,VIBCH|EnsemblGenome=VC_1647|UniProtKB=Q9KRJ3"	HTH-TYPE TRANSCRIPTIONAL REGULATOR SGRR	12	peptide transmembrane transporter activity(GO:1904680)		outer membrane-bounded periplasmic space(GO:0030288);plasma membrane(GO:0005886)	ATP-binding cassette (ABC) transporter(PC00003)	
PTHR36106:SF2	VIBCH|EnsemblGenome=VC_2699|UniProtKB=Q9KNN2	ANAEROBIC C4-DICARBOXYLATE TRANSPORTER DCUA	5					
PTHR34801:SF2	VIBCH|EnsemblGenome=VC_2378|UniProtKB=Q9KPI9	SUBFAMILY NOT NAMED	8					
PTHR28055:SF1	VIBCH|EnsemblGenome=VC_0519|UniProtKB=Q9KUK0	"ALTERED INHERITANCE OF MITOCHONDRIA PROTEIN 41, MITOCHONDRIAL"	34					
PTHR30437:SF4	VIBCH|EnsemblGenome=VC_0634|UniProtKB=Q9KU89	TRANSCRIPTION ELONGATION FACTOR GREA	36					
PTHR30372:SF4	VIBCH|EnsemblGenome=VC_2247|UniProtKB=Q9KPW5	"LIPID-A-DISACCHARIDE SYNTHASE, MITOCHONDRIAL-RELATED"	62	phospholipid binding(GO:0005543)	glycolipid biosynthetic process(GO:0009247);oligosaccharide biosynthetic process(GO:0009312);phospholipid biosynthetic process(GO:0008654)	cytosol(GO:0005829)	transferase(PC00220)	
PTHR11575:SF24	VIBCH|EnsemblGenome=VC_A0545|UniProtKB=Q9KM44	RIKEN CDNA 4933425L06	54	phosphoric diester hydrolase activity(GO:0008081)			phosphodiesterase(PC00185)	
PTHR13932:SF6	VIBCH|EnsemblGenome=VC_0116|UniProtKB=Q9KVM5	OXYGEN-INDEPENDENT COPROPORPHYRINOGEN III OXIDASE	16	oxidoreductase activity(GO:0016491)	porphyrin-containing compound metabolic process(GO:0006778)		oxidase(PC00175)	
PTHR30086:SF3	VIBCH|EnsemblGenome=VC_A0355|UniProtKB=Q9KMJ3	SUBFAMILY NOT NAMED	14					
PTHR23502:SF137	VIBCH|EnsemblGenome=VC_A0267|UniProtKB=Q9KMQ3	SUBFAMILY NOT NAMED	5	drug transmembrane transporter activity(GO:0015238)		integral component of plasma membrane(GO:0005887)		
PTHR11560:SF8	VIBCH|EnsemblGenome=VC_0326|UniProtKB=Q9KV32	"39S RIBOSOMAL PROTEIN L10, MITOCHONDRIAL"	121	structural constituent of ribosome(GO:0003735)	formation of translation initiation ternary complex(GO:0001677);translational elongation(GO:0006414);translational termination(GO:0006415)	large ribosomal subunit(GO:0015934)		
PTHR21180:SF32	VIBCH|EnsemblGenome=VC_1917|UniProtKB=Q9KQT1	ENDONUCLEASE/EXONUCLEASE/PHOSPHATASE FAMILY DOMAIN-CONTAINING PROTEIN 1	63					
PTHR32071:SF38	VIBCH|EnsemblGenome=VC_1679|UniProtKB=Q9KRG3	PSP OPERON TRANSCRIPTIONAL ACTIVATOR	5				homeodomain transcription factor(PC00119)	
PTHR38109:SF1	VIBCH|EnsemblGenome=VC_1957|UniProtKB=Q9KQP1	PROTEIN YCGL	8					
PTHR32089:SF103	VIBCH|EnsemblGenome=VC_A1088|UniProtKB=Q9KKL5	SUBFAMILY NOT NAMED	4					
PTHR42942:SF1	VIBCH|EnsemblGenome=VC_1065|UniProtKB=Q9KT40	DNA BASE-FLIPPING PROTEIN	27	methyltransferase activity(GO:0008168)			DNA methyltransferase(PC00013)	
PTHR11544:SF60	VIBCH|EnsemblGenome=VC_A0184|UniProtKB=Q9KMY2	LD37574P	83					
PTHR36508:SF1	VIBCH|EnsemblGenome=VC_0352|UniProtKB=Q9KV06	PROTEIN SLYX	12					
PTHR46797:SF11	VIBCH|EnsemblGenome=VC_A0279|UniProtKB=Q9KMP3	SUBFAMILY NOT NAMED	3				Lambda repressor-like transcription factor(PC00245);nucleic acid binding(PC00171);transcription cofactor(PC00217)	
PTHR42994:SF1	VIBCH|EnsemblGenome=VC_A0180|UniProtKB=Q9KMY6	PEPTIDASE T	21				deacetylase(PC00087);metalloprotease(PC00153)	
PTHR30249:SF0	VIBCH|EnsemblGenome=VC_1232|UniProtKB=Q9KSM4	"PLASTIDAL GLYCOLATE/GLYCERATE TRANSLOCATOR 1, CHLOROPLASTIC"	70				transporter(PC00227)	
PTHR24074:SF37	VIBCH|EnsemblGenome=VC_0447|UniProtKB=Q9KUR8	CO-CHAPERONE PROTEIN DJLA	26					
