Longname	Mapped	Info	Panth_fam	Pant_prot_class	Species	Molecular_function	Bio_process	Cellular_component
VIBCH|EnsemblGenome=VC_2206|UniProtKB=Q9KQ01	VC_2206	Uncharacterized protein;VC_2206;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_0541|UniProtKB=Q9KUI0	VC_0541	Sulfate/thiosulfate import ATP-binding protein CysA;cysA;ortholog	SUBFAMILY NOT NAMED (PTHR43514:SF3)	ATP-binding cassette (ABC) transporter(PC00003)	Vibrio cholerae	nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATPase-coupled sulfate transmembrane transporter activity(GO:0015419);hydrolase activity(GO:0016787);ATPase activity(GO:0016887);ATPase-coupled thiosulfate transmembrane transporter activity(GO:0102025)	sulfate transport(GO:0008272);thiosulfate transport(GO:0015709);ATP hydrolysis coupled anion transmembrane transport(GO:0099133);sulfate transmembrane transport(GO:1902358)	plasma membrane(GO:0005886);membrane(GO:0016020);ATP-binding cassette (ABC) transporter complex(GO:0043190)
VIBCH|EnsemblGenome=VC_1639|UniProtKB=Q9KRK1	VC_1639	Sensor histidine kinase;VC_1639;ortholog	SUBFAMILY NOT NAMED (PTHR45436:SF6)		Vibrio cholerae	phosphorelay sensor kinase activity(GO:0000155);nucleotide binding(GO:0000166);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);transferase activity, transferring phosphorus-containing groups(GO:0016772)	phosphorelay signal transduction system(GO:0000160);signal transduction(GO:0007165);phosphorylation(GO:0016310);signal transduction by protein phosphorylation(GO:0023014)	intracellular(GO:0005622);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_0230|UniProtKB=Q9KVB6	VC_0230	Uncharacterized protein;VC_0230;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_0328|UniProtKB=Q9KV30	VC_0328	DNA-directed RNA polymerase subunit beta;rpoB;ortholog	DNA-DIRECTED RNA POLYMERASE SUBUNIT BETA (PTHR20856:SF20)	DNA-directed RNA polymerase(PC00019);nucleotidyltransferase(PC00174)	Vibrio cholerae	DNA binding(GO:0003677);DNA-directed 5'-3' RNA polymerase activity(GO:0003899);transferase activity(GO:0016740);nucleotidyltransferase activity(GO:0016779);ribonucleoside binding(GO:0032549)	transcription, DNA-templated(GO:0006351)	DNA-directed RNA polymerase complex(GO:0000428)
VIBCH|EnsemblGenome=VC_1323|UniProtKB=Q9KSD5	VC_1323	Uncharacterized protein;VC_1323;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_A0210|UniProtKB=Q9KMV8	VC_A0210	3'3'-cGAMP-specific phosphodiesterase 2;VC_A0210;ortholog	SUBFAMILY NOT NAMED (PTHR45228:SF3)		Vibrio cholerae	phosphorelay response regulator activity(GO:0000156);cyclic-nucleotide phosphodiesterase activity(GO:0004112);hydrolase activity(GO:0016787)	phosphorelay signal transduction system(GO:0000160);cyclic nucleotide catabolic process(GO:0009214)	intracellular(GO:0005622)
VIBCH|EnsemblGenome=VC_2179|UniProtKB=Q9KQ25	VC_2179	Peptide chain release factor 1;prfA;ortholog	PEPTIDE CHAIN RELEASE FACTOR 1, MITOCHONDRIAL-RELATED (PTHR43804:SF7)	translation release factor(PC00225)	Vibrio cholerae	translation release factor activity(GO:0003747);translation release factor activity, codon specific(GO:0016149)	translation(GO:0006412);translational termination(GO:0006415)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_A0501|UniProtKB=Q9KM82	VC_A0501	Uncharacterized protein;VC_A0501;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_A0848|UniProtKB=Q9KL98	VC_A0848	GGDEF family protein;VC_A0848;ortholog	DIGUANYLATE CYCLASE DGCM-RELATED (PTHR45138:SF9)		Vibrio cholerae		biological_process(GO:0008150)	
VIBCH|EnsemblGenome=VC_0200|UniProtKB=Q9KVE6	VC_0200	Iron(III) compound receptor;VC_0200;ortholog	FERRICHROME OUTER MEMBRANE TRANSPORTER/PHAGE RECEPTOR (PTHR32552:SF81)		Vibrio cholerae	signaling receptor activity(GO:0004872);iron ion binding(GO:0005506);signaling receptor activity(GO:0038023)	iron ion transport(GO:0006826);siderophore transport(GO:0015891);cellular response to iron ion(GO:0071281)	cell outer membrane(GO:0009279);membrane(GO:0016020)
VIBCH|EnsemblGenome=VC_A0044|UniProtKB=Q9KNC1	VC_A0044	Uncharacterized protein;VC_A0044;ortholog	SUBFAMILY NOT NAMED (PTHR36842:SF1)		Vibrio cholerae	peptidase activity(GO:0008233)	proteolysis(GO:0006508)	
VIBCH|EnsemblGenome=VC_A0129|UniProtKB=Q9KN36	VC_A0129	Ribose ABC transporter, permease protein;VC_A0129;ortholog	ABC TRANSPORTER PERMEASE PROTEIN YPHD-RELATED (PTHR32196:SF21)		Vibrio cholerae	monosaccharide transmembrane transporter activity(GO:0015145);D-ribose-importing ATPase activity(GO:0015611);transmembrane transporter activity(GO:0022857)	D-ribose transmembrane transport(GO:0015752);transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_A0490|UniProtKB=Q9KM91	VC_A0490	Lipase, GDXG family;VC_A0490;ortholog	SUBFAMILY NOT NAMED (PTHR23024:SF248)	lipase(PC00143);serine protease(PC00203)	Vibrio cholerae	lipase activity(GO:0016298);hydrolase activity(GO:0016787);short-chain carboxylesterase activity(GO:0034338)	metabolic process(GO:0008152);catabolic process(GO:0009056);lipid catabolic process(GO:0016042)	
VIBCH|EnsemblGenome=VC_0151|UniProtKB=P50529	VC_0151	Soluble pyridine nucleotide transhydrogenase;sthA;ortholog	SOLUBLE PYRIDINE NUCLEOTIDE TRANSHYDROGENASE (PTHR22912:SF93)	dehydrogenase(PC00092);oxidase(PC00175);reductase(PC00198)	Vibrio cholerae	NAD(P)+ transhydrogenase (B-specific) activity(GO:0003957);electron transfer activity(GO:0009055);oxidoreductase activity(GO:0016491);flavin adenine dinucleotide binding(GO:0050660)	electron transport chain(GO:0022900);cell redox homeostasis(GO:0045454);oxidation-reduction process(GO:0055114);proton transmembrane transport(GO:1902600)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_1379|UniProtKB=Q9KS80	VC_1379	Uncharacterized protein;VC_1379;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_2388|UniProtKB=Q9KPI0	VC_2388	Uncharacterized protein;VC_2388;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_A0980|UniProtKB=Q9KKX0	VC_A0980	Uncharacterized protein;VC_A0980;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_0365|UniProtKB=Q9KUZ3	VC_0365	Bacterioferritin;VC_0365;ortholog	BACTERIOFERRITIN (PTHR30295:SF0)	storage protein(PC00210)	Vibrio cholerae	ferroxidase activity(GO:0004322);ferric iron binding(GO:0008199);metal ion binding(GO:0046872)	iron ion transport(GO:0006826);cellular iron ion homeostasis(GO:0006879);intracellular sequestering of iron ion(GO:0006880);oxidation-reduction process(GO:0055114)	cell(GO:0005623)
VIBCH|EnsemblGenome=VC_2642|UniProtKB=Q9KNT8	VC_2642	Argininosuccinate synthase;argG;ortholog	ARGININOSUCCINATE SYNTHASE (PTHR11587:SF2)	ligase(PC00142)	Vibrio cholerae	nucleotide binding(GO:0000166);argininosuccinate synthase activity(GO:0004055);ATP binding(GO:0005524);ligase activity(GO:0016874)	urea cycle(GO:0000050);argininosuccinate metabolic process(GO:0000053);arginine biosynthetic process(GO:0006526);cellular amino acid biosynthetic process(GO:0008652)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_A0328|UniProtKB=Q9K3D3	VC_A0328	Biphenyl-2,3-diol 1,2-dioxygenase III-related protein;VC_A0328;ortholog	GLYOXALASE DOMAIN-CONTAINING PROTEIN 5 (PTHR21366:SF21)		Vibrio cholerae	catalytic activity(GO:0003824);dioxygenase activity(GO:0051213)	oxidation-reduction process(GO:0055114)	
VIBCH|EnsemblGenome=VC_0780|UniProtKB=Q9KTV7	VC_0780	Vibriobactin synthase component D;VC_0780;ortholog	ENTEROBACTIN SYNTHASE COMPONENT D (PTHR38096:SF1)		Vibrio cholerae	magnesium ion binding(GO:0000287);holo-[acyl-carrier-protein] synthase activity(GO:0008897);transferase activity(GO:0016740);phosphotransferase activity, for other substituted phosphate groups(GO:0016780)	enterobactin biosynthetic process(GO:0009239)	enterobactin synthetase complex(GO:0009366)
VIBCH|EnsemblGenome=VC_1551|UniProtKB=Q9KRT5	VC_1551	sn-glycerol-3-phosphate transport system permease protein UgpE;ugpE;ortholog	SN-GLYCEROL-3-PHOSPHATE TRANSPORT SYSTEM PERMEASE PROTEIN UGPE (PTHR43744:SF8)		Vibrio cholerae	glycerol-3-phosphate-transporting ATPase activity(GO:0015430)	glycerophosphodiester transmembrane transport(GO:0001407);glycerol-3-phosphate transmembrane transport(GO:0015794);transmembrane transport(GO:0055085);ATP hydrolysis coupled anion transmembrane transport(GO:0099133)	plasma membrane(GO:0005886);integral component of plasma membrane(GO:0005887);membrane(GO:0016020);integral component of membrane(GO:0016021);ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing(GO:0055052)
VIBCH|EnsemblGenome=VC_A1109|UniProtKB=Q9KKJ6	VC_A1109	Uncharacterized protein;VC_A1109;ortholog			Vibrio cholerae	molecular_function(GO:0003674);heme oxygenase (decyclizing) activity(GO:0004392)	heme oxidation(GO:0006788);biological_process(GO:0008150);oxidation-reduction process(GO:0055114)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_0762|UniProtKB=Q9KTW8	VC_0762	Outer membrane protein assembly factor BamB;bamB;ortholog	OUTER MEMBRANE PROTEIN ASSEMBLY FACTOR BAMB (PTHR32303:SF2)		Vibrio cholerae	molecular_function(GO:0003674);oxidoreductase activity(GO:0016491)	biological_process(GO:0008150);oxidation-reduction process(GO:0055114)	cell outer membrane(GO:0009279);membrane(GO:0016020)
VIBCH|EnsemblGenome=VC_1193|UniProtKB=Q9KSR3	VC_1193	Uncharacterized protein;VC_1193;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_0440|UniProtKB=Q9KUS5	VC_0440	Dihydrofolate reductase;VC_0440;ortholog	DIHYDROFOLATE REDUCTASE (PTHR22778:SF16)	reductase(PC00198)	Vibrio cholerae	dihydrofolate reductase activity(GO:0004146);oxidoreductase activity(GO:0016491);NADP binding(GO:0050661)	glycine biosynthetic process(GO:0006545);one-carbon metabolic process(GO:0006730);folic acid-containing compound metabolic process(GO:0006760);nucleotide biosynthetic process(GO:0009165);tetrahydrofolate biosynthetic process(GO:0046654);oxidation-reduction process(GO:0055114)	
VIBCH|EnsemblGenome=VC_0942|UniProtKB=Q9KTG0	VC_0942	Uncharacterized protein;VC_0942;ortholog			Vibrio cholerae			
VIBCH|EnsemblGenome=VC_A0245|UniProtKB=Q9KMS5	VC_A0245	PTS system, IIA component;VC_A0245;ortholog	ASCORBATE-SPECIFIC PTS SYSTEM EIIA COMPONENT (PTHR36203:SF1)		Vibrio cholerae	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity(GO:0008982);kinase activity(GO:0016301);transferase activity(GO:0016740)	phosphoenolpyruvate-dependent sugar phosphotransferase system(GO:0009401);phosphorylation(GO:0016310);carbohydrate transmembrane transport(GO:0034219)	
VIBCH|EnsemblGenome=VC_2620|UniProtKB=Q9KNW0	VC_2620	Ribosomal protein S12 methylthiotransferase RimO;rimO;ortholog	RIBOSOMAL PROTEIN S12 METHYLTHIOTRANSFERASE RIMO (PTHR43837:SF1)		Vibrio cholerae	molecular_function(GO:0003674);catalytic activity(GO:0003824);transferase activity(GO:0016740);metal ion binding(GO:0046872);iron-sulfur cluster binding(GO:0051536);4 iron, 4 sulfur cluster binding(GO:0051539);protein methylthiotransferase activity(GO:0103039)	tRNA modification(GO:0006400);biological_process(GO:0008150);peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid(GO:0018339)	cellular_component(GO:0005575);cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_A0115|UniProtKB=Q9KN50	VC_A0115	Uncharacterized protein;VC_A0115;ortholog	SUBFAMILY NOT NAMED (PTHR38033:SF1)		Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_A0401|UniProtKB=Q9K391	VC_A0401	Uncharacterized protein;VC_A0401;ortholog	SUBFAMILY NOT NAMED (PTHR36437:SF2)		Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_1614|UniProtKB=Q9KRM2	VC_1614	Ribosomal RNA large subunit methyltransferase F;rlmF;ortholog	U6 SMALL NUCLEAR RNA (ADENINE-(43)-N(6))-METHYLTRANSFERASE (PTHR13393:SF0)	methyltransferase(PC00155)	Vibrio cholerae	molecular_function(GO:0003674);methyltransferase activity(GO:0008168);rRNA (adenine-N6-)-methyltransferase activity(GO:0008988);transferase activity(GO:0016740);23S rRNA (adenine(1618)-N(6))-methyltransferase activity(GO:0052907)	rRNA processing(GO:0006364);biological_process(GO:0008150);methylation(GO:0032259);rRNA base methylation(GO:0070475)	cellular_component(GO:0005575);cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_A0743|UniProtKB=Q9KLK0	VC_A0743	Uncharacterized protein;VC_A0743;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_A0801|UniProtKB=Q9KLE5	VC_A0801	Inosine-guanosine kinase;VC_A0801;ortholog	INOSINE-GUANOSINE KINASE (PTHR43085:SF30)	carbohydrate kinase(PC00065);nucleotide kinase(PC00172)	Vibrio cholerae	inosine kinase activity(GO:0008906);kinase activity(GO:0016301);transferase activity(GO:0016740)	nucleobase-containing small molecule interconversion(GO:0015949);phosphorylation(GO:0016310)	
VIBCH|EnsemblGenome=VC_A0161|UniProtKB=Q9KN05	VC_A0161	Tryptophanase;tnaA;ortholog	BETA-ELIMINATING LYASE-LIKE PROTEIN-RELATED (PTHR32325:SF4)		Vibrio cholerae	catalytic activity(GO:0003824);tryptophanase activity(GO:0009034);lyase activity(GO:0016829);carbon-carbon lyase activity(GO:0016830)	cellular amino acid metabolic process(GO:0006520);tryptophan metabolic process(GO:0006568);tryptophan catabolic process(GO:0006569);aromatic amino acid family metabolic process(GO:0009072)	
VIBCH|EnsemblGenome=VC_2583|UniProtKB=Q9KNZ7	VC_2583	30S ribosomal protein S14;rpsN;ortholog	28S RIBOSOMAL PROTEIN S14, MITOCHONDRIAL (PTHR19836:SF19)	ribosomal protein(PC00202)	Vibrio cholerae	RNA binding(GO:0003723);structural constituent of ribosome(GO:0003735);rRNA binding(GO:0019843)	translation(GO:0006412)	intracellular(GO:0005622);ribosome(GO:0005840);small ribosomal subunit(GO:0015935);cytosolic small ribosomal subunit(GO:0022627);ribonucleoprotein complex(GO:0030529)
VIBCH|EnsemblGenome=VC_1676|UniProtKB=Q9KRG6	VC_1676	Phage shock protein C;VC_1676;ortholog	PHAGE SHOCK PROTEIN C (PTHR33885:SF3)		Vibrio cholerae		phage shock(GO:0009271)	membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_2223|UniProtKB=Q9KPY9	VC_2223	Pseudouridine synthase;VC_2223;ortholog	23S RRNA PSEUDOURIDINE(2604) SYNTHASE (PTHR21600:SF24)		Vibrio cholerae	RNA binding(GO:0003723);pseudouridine synthase activity(GO:0009982);isomerase activity(GO:0016853);intramolecular transferase activity(GO:0016866)	enzyme-directed rRNA pseudouridine synthesis(GO:0000455);pseudouridine synthesis(GO:0001522);RNA modification(GO:0009451)	cytosol(GO:0005829)
VIBCH|EnsemblGenome=VC_2127|UniProtKB=Q9KQ74	VC_2127	Flagellar protein FliL;VC_2127;ortholog	FLAGELLAR PROTEIN FLIL (PTHR35091:SF4)		Vibrio cholerae	structural molecule activity(GO:0005198)	chemotaxis(GO:0006935);bacterial-type flagellum-dependent cell motility(GO:0071973);archaeal or bacterial-type flagellum-dependent cell motility(GO:0097588)	plasma membrane(GO:0005886);bacterial-type flagellum(GO:0009288);bacterial-type flagellum basal body(GO:0009425);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_2638|UniProtKB=Q9KNU2	VC_2638	Pyridine nucleotide-disulfide oxidoreductase, class I;VC_2638;ortholog	SUBFAMILY NOT NAMED (PTHR43014:SF2)	dehydrogenase(PC00092);oxidase(PC00175);reductase(PC00198)	Vibrio cholerae	NAD(P)+ transhydrogenase (B-specific) activity(GO:0003957);electron transfer activity(GO:0009055);oxidoreductase activity(GO:0016491);flavin adenine dinucleotide binding(GO:0050660)	electron transport chain(GO:0022900);cell redox homeostasis(GO:0045454);oxidation-reduction process(GO:0055114);proton transmembrane transport(GO:1902600)	cell(GO:0005623)
VIBCH|EnsemblGenome=VC_A0078|UniProtKB=Q9KN87	VC_A0078	Uncharacterized protein;VC_A0078;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_1372|UniProtKB=Q9KS87	VC_1372	GGDEF family protein;VC_1372;ortholog	DIGUANYLATE CYCLASE DGCM-RELATED (PTHR45138:SF9)		Vibrio cholerae		biological_process(GO:0008150)	membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_1469|UniProtKB=Q9K394	VC_1469	Phage replication protein Cri;VC_1469;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	DNA replication(GO:0006260);plasmid maintenance(GO:0006276)	
VIBCH|EnsemblGenome=VC_A0904|UniProtKB=Q9KL44	VC_A0904	Permease;VC_A0904;ortholog	SUBFAMILY NOT NAMED (PTHR30354:SF25)	carbohydrate transporter(PC00067)	Vibrio cholerae	gluconate transmembrane transporter activity(GO:0015128);transmembrane transporter activity(GO:0022857)	gluconate transmembrane transport(GO:0035429)	integral component of plasma membrane(GO:0005887);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_0839|UniProtKB=P0C6D9	VC_0839	Type 4 prepilin-like proteins leader peptide-processing enzyme;tcpJ;ortholog	LEADER PEPTIDASE PPPA-RELATED (PTHR30487:SF0)	aspartic protease(PC00053)	Vibrio cholerae	catalytic activity(GO:0003824);aspartic-type endopeptidase activity(GO:0004190);methyltransferase activity(GO:0008168);peptidase activity(GO:0008233);transferase activity(GO:0016740);hydrolase activity(GO:0016787)	proteolysis(GO:0006508);metabolic process(GO:0008152);methylation(GO:0032259)	plasma membrane(GO:0005886);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_A0032|UniProtKB=Q9KND3	VC_A0032	Uncharacterized protein;VC_A0032;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_A0173|UniProtKB=Q9KMZ3	VC_A0173	Uncharacterized protein;VC_A0173;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_A0285|UniProtKB=Q9KMN9	VC_A0285	Uncharacterized protein;VC_A0285;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_0626|UniProtKB=Q9KU97	VC_0626	Glutamate-1-semialdehyde 2,1-aminomutase;hemL;ortholog	GLUTAMATE-1-SEMIALDEHYDE 2,1-AMINOMUTASE 1, CHLOROPLASTIC-RELATED (PTHR43713:SF3)	mutase(PC00160);transaminase(PC00216)	Vibrio cholerae	catalytic activity(GO:0003824);transaminase activity(GO:0008483);isomerase activity(GO:0016853);intramolecular transferase activity, transferring amino groups(GO:0016869);pyridoxal phosphate binding(GO:0030170);glutamate-1-semialdehyde 2,1-aminomutase activity(GO:0042286)	porphyrin-containing compound biosynthetic process(GO:0006779);protoporphyrinogen IX biosynthetic process(GO:0006782);tetrapyrrole biosynthetic process(GO:0033014)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_1756|UniProtKB=Q9KR86	VC_1756	Periplasmic linker protein, putative;VC_1756;ortholog	SUBFAMILY NOT NAMED (PTHR30469:SF20)		Vibrio cholerae	transporter activity(GO:0005215);protein transporter activity(GO:0008565)	protein secretion(GO:0009306);transmembrane transport(GO:0055085)	membrane(GO:0016020)
VIBCH|EnsemblGenome=VC_2144|UniProtKB=P0C6C7	VC_2144	Flagellin E;flaE;ortholog	FLAGELLIN (PTHR42792:SF2)	structural protein(PC00211)	Vibrio cholerae	structural molecule activity(GO:0005198)	bacterial-type flagellum organization(GO:0044781);bacterial-type flagellum-dependent cell motility(GO:0071973)	extracellular region(GO:0005576);bacterial-type flagellum(GO:0009288);bacterial-type flagellum filament(GO:0009420)
VIBCH|EnsemblGenome=VC_A0125|UniProtKB=Q9KN40	VC_A0125	Uncharacterized protein;VC_A0125;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
