vc_names,Uniprot,Family_name,Genes,GO,GO_num
VC0058,Q9KVT1,"GAMMA CARBONIC ANHYDRASE 1, MITOCHONDRIAL",88,motor activity;structural molecule activity,GO:0003774;GO:0005198
VC0059,Q9KVT0,,,,
VC0060,Q9KVS9,FLUORIDE ION TRANSPORTER CRCB-RELATED,12,inorganic anion transmembrane transporter activity,GO:0015103
VC0061,Q9KVS8,"PHOSPHOMETHYLPYRIMIDINE SYNTHASE, CHLOROPLASTIC",75,"",""
VC0062,Q9KVS7,THIAMINE BIOSYNTHETIC BIFUNCTIONAL ENZYME,57,"transferase activity, transferring alkyl or aryl (other than methyl) groups",GO:0016765
VC0063,Q9KVS6,SULFUR CARRIER PROTEIN THIS ADENYLYLTRANSFERASE,5,nucleotidyltransferase activity,GO:0016779
VC0064,Q9KVS5,SULFUR CARRIER PROTEIN THIS,23,"",""
VC0065,Q9KVS4,THIAZOLE SYNTHASE,26,"",""
VC0066,Q9KVS3,2-IMINOACETATE SYNTHASE,8,transferase activity,GO:0016740
VC0067,Q9KVS2,XAA-PRO AMINOPEPTIDASE 1,127,metallopeptidase activity,GO:0008237
VC0068,Q9KVS1,SUBFAMILY NOT NAMED,4,"",""
VC0069,Q9KVS0,SUBFAMILY NOT NAMED,3,drug transmembrane transporter activity,GO:0015238
VC0070,Q9KVR9,,,,
VC0071,Q9KVR8,REGULATORY PROTEIN ASNC,16,"",""
VC0072,Q9KVR7,SUBFAMILY NOT NAMED,5,"",""
VC0073,Q9KVR6,RIBOSOMAL RNA SMALL SUBUNIT METHYLTRANSFERASE J,16,"",""
VC0074,Q9KVR5,,,,
VC0075,Q9KVR4,BIOTIN TRANSPORTER,5,"",""
VC0076,Q9KVR3,UNIVERSAL STRESS PROTEIN A,38,"",""
VC0077,Q9KVR2,,,,
VC0078,Q9KVR1,FERRITIN,73,identical protein binding;iron ion binding;oxidoreductase activity,GO:0042802;GO:0005506;GO:0016491
VC0079,Q9KVR0,,,,
VC0080,Q9KVQ9,SUBFAMILY NOT NAMED,56,oxidoreductase activity,GO:0016491
VC0081,Q9KVQ8,AROMATIC AMINO ACID EXPORTER YDDG,12,"",""
VC0082,Q9KVQ7,DNA RECOMBINATION PROTEIN RMUC,14,"",""
VC0083,Q9KVQ6,"2-METHOXY-6-POLYPRENYL-1,4-BENZOQUINOL METHYLASE, MITOCHONDRIAL",138,"",""
VC0084,Q9KVQ5,UBIQUINONE BIOSYNTHESIS PROTEIN UBIJ,8,"",""
VC0085,Q9KVQ4,PROTEIN KINASE UBIB-RELATED,10,"",""
VC0086,P57051,,,,
VC0087,P57063,"SEC-INDEPENDENT PROTEIN TRANSLOCASE PROTEIN TATB, CHLOROPLASTIC",70,"",""
VC0088,Q9KVQ3,"SEC-INDEPENDENT PROTEIN TRANSLOCASE PROTEIN TATC, CHLOROPLASTIC",79,P-P-bond-hydrolysis-driven transmembrane transporter activity;protein transmembrane transporter activity;secondary active transmembrane transporter activity,GO:0015405;GO:0008320;GO:0015291
VC0089,Q9KVQ2,CYTOCHROME C PEROXIDASE-RELATED,13,oxidoreductase activity,GO:0016491
VC0090,Q9KVQ1,"PROTEIN DETOXIFICATION 44, CHLOROPLASTIC",61,"",""
VC0091,Q9KVQ0,SUBFAMILY NOT NAMED,12,"",""
VC0092,Q9KVP9,LEXA REPRESSOR,30,"",""
VC0093,Q9KVP8,BCDNA.GH07066,45,"",""
VC0094,Q9KVP7,"4-HYDROXYBENZOATE POLYPRENYLTRANSFERASE, MITOCHONDRIAL",133,"",""
VC0095,Q9KVP6,CHORISMATE PYRUVATE-LYASE,7,lyase activity,GO:0016829
VC0096,Q9KVP5,,,,
VC0097,Q9KVP4,SUBFAMILY NOT NAMED,11,"",""
VC0098,Q9KVP3,,,,
VC0099,Q9KVP2,,,,
VC0100,Q9KVP1,RHODANESE-LIKE DOMAIN-CONTAINING PROTEIN 17-RELATED,45,"",""
VC0101,Q9KVP0,,,,
VC0102,Q9KVN9,,,,
VC0103,Q9KVN8,,,,
VC0104,Q9KVN7,,,,
VC0105,Q9KVN6,DELTA-AMINOLEVULINIC ACID DEHYDRATASE,124,hydro-lyase activity;zinc ion binding,GO:0016836;GO:0008270
VC0106,Q9KVN5,,,,
VC0107,Q9KVN4,,,,
VC0108,Q9KVN3,DNA POLYMERASE THETA,112,5'-3' exonuclease activity;DNA-directed DNA polymerase activity,GO:0008409;GO:0003887
VC0109,Q9KVN2,,,,
VC0110,Q9KVN1,,,,
VC0111,Q9KVN0,GTP-BINDING PROTEIN ENGB-RELATED,86,"",""
VC0112,Q9KVM9,,,,
VC0113,Q9KVM8,,,,
VC0114,Q9KVM7,,,,
VC0115,Q9KVM6,,,,
VC0116,Q9KVM5,OXYGEN-INDEPENDENT COPROPORPHYRINOGEN III OXIDASE,16,oxidoreductase activity,GO:0016491
VC0117,Q9KVM4,,,,
VC0118,Q9KVM3,PROTEIN HEMX,11,"",""
VC0119,Q9KVM2,"UROPORPHYRINOGEN-III SYNTHASE, CHLOROPLASTIC",56,"",""
VC0120,Q9KVM1,PORPHOBILINOGEN DEAMINASE,138,"transferase activity, transferring alkyl or aryl (other than methyl) groups",GO:0016765
VC0121,Q9KVM0,,,,
VC0122,Q9KVL9,ADENYLATE CYCLASE,7,adenylate cyclase activity,GO:0004016
VC0123,Q9KVL8,"FRATAXIN, MITOCHONDRIAL",97,"",""
VC0125,Q9KVL7,"DIAMINOPIMELATE DECARBOXYLASE 1, CHLOROPLASTIC-RELATED",88,lyase activity,GO:0016829
VC0126,Q9KVL6,"DIAMINOPIMELATE EPIMERASE, CHLOROPLASTIC",81,catalytic activity,GO:0003824
VC0127,Q9KVL5,SUBFAMILY NOT NAMED,7,"",""
VC0128,Q9KVL4,TYROSINE RECOMBINASE XERC-RELATED,29,DNA binding,GO:0003677
VC0129,Q9KVL3,5-AMINO-6-(5-PHOSPHO-D-RIBITYLAMINO)URACIL PHOSPHATASE YIGB,12,"",""
VC0130,Q9KVL2,SUBFAMILY NOT NAMED,7,"",""
VC0131,Q9KVL1,,,,
VC0132,Q9KVL0,,,,
VC0133,Q9KVK9,,,,
VC0134,Q9KVK8,PYRIDOXAL PHOSPHATE PHOSPHATASE YIGL,13,"",""
VC0135,H9L4S2,MONOGLYCERIDE LIPASE,140,"",""
VC0136,Q9KVK7,HOMOSERINE/HOMOSERINE LACTONE EFFLUX PROTEIN,9,"",""
VC0137,Q9KVK6,,,,
VC0138,Q9KVK5,,,,
VC0139,Q9KVK4,SUBFAMILY NOT NAMED,14,"",""
VC0140,Q9KVK3,,,,
VC0141,Q9KVK2,,,,
VC0142,Q9KVK1,,,,
VC0143,Q9KVK0,,,,
VC0144,Q9KVJ9,,,,
VC0145,Q9KVJ8,SUBFAMILY NOT NAMED,7,"",""
VC0146,Q9KVJ7,METHYLTRANSFERASE,72,RNA methyltransferase activity;nucleic acid binding,GO:0008173;GO:0003676
VC0147,Q9KVJ6,"CELL DIVISION PROTEIN FTSY HOMOLOG, CHLOROPLASTIC",84,GTPase activity;ribonucleoprotein complex binding,GO:0003924;GO:0043021
VC0148,Q9KVJ5,CELL DIVISION ATP-BINDING PROTEIN FTSE,23,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC0149,Q9KVJ4,CELL DIVISION PROTEIN FTSX,22,"",""
VC0150,P50511,RNA POLYMERASE SIGMA FACTOR RPOH,19,"",""
VC0151,P50529,SOLUBLE PYRIDINE NUCLEOTIDE TRANSHYDROGENASE,11,oxidoreductase activity,GO:0016491
VC0152,Q9KVJ2,HTH-TYPE TRANSCRIPTIONAL REPRESSOR FABR,11,DNA-binding transcription factor activity;transcription regulatory region sequence-specific DNA binding,GO:0003700;GO:0000976
VC0153,Q9KVJ1,,,,
VC0154,Q9KVJ0,TRNA/TMRNA (URACIL-C(5))-METHYLTRANSFERASE,13,"",""
VC0156,Q9KVI9,VITAMIN B12 TRANSPORTER BTUB,6,"",""
VC0157,Q9KVI8,PROPROTEIN CONVERTASE SUBTILISIN/KEXIN TYPE 9,174,serine-type endopeptidase activity,GO:0004252
VC0158,Q9KVI7,GLUTAMATE RACEMASE,29,catalytic activity,GO:0003824
VC0159,Q9KVI6,,,,
VC0160,Q9K3B0,,,,
VC0161,Q9KVI5,HTH-TYPE TRANSCRIPTIONAL REGULATOR ILVY,9,"",""
VC0162,Q9KVI4,"KETOL-ACID REDUCTOISOMERASE, MITOCHONDRIAL",118,"hydro-lyase activity;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;transferase activity",GO:0016836;GO:0016616;GO:0016740
VC0163,Q9KVI3,SUBFAMILY NOT NAMED,9,"",""
VC0164,Q9KVI2,SUBFAMILY NOT NAMED,7,"",""
VC0165,Q9KVI1,SUBFAMILY NOT NAMED,11,drug transmembrane transporter activity;efflux transmembrane transporter activity,GO:0015238;GO:0015562
VC0166,Q9KVI0,SUBFAMILY NOT NAMED,9,"",""
VC0167,Q9KVH9,ATP-DEPENDENT DNA HELICASE SRS2,50,3'-5' DNA helicase activity;ATP binding;ATP-dependent DNA helicase activity,GO:0043138;GO:0005524;GO:0004003
VC0168,Q9KVH8,SUBFAMILY NOT NAMED,5,"",""
VC0169,Q9KVH7,,,,
VC0170,Q9KVH6,SUBFAMILY NOT NAMED,55,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC0171,Q9KVH5,SUBFAMILY NOT NAMED,39,peptide transmembrane transporter activity,GO:1904680
VC0172,Q9KVH4,SUBFAMILY NOT NAMED,2,"",""
VC0173,Q9KVH3,SUBFAMILY NOT NAMED,42,"",""
VC0174,Q9KVH2,,,,
VC0175,Q9KVH1,,,,
VC0176,Q9KVH0,,,,
VC0177,Q9KVG9,,,,
VC0178,Q9KVG8,SUBFAMILY NOT NAMED,1,"",""
VC0179,Q9KVG7,,,,
VC0180,Q9KVG6,,,,
VC0181,Q9KVG5,,,,
VC0182,Q9KVG4,,,,
VC0183,Q9KVG3,,,,
VC0184,Q9KVG2,,,,
VC0185,Q9KVG1,SUBFAMILY NOT NAMED,17,DNA binding,GO:0003677
VC0186,Q9KVG0,"GLUTATHIONE REDUCTASE, MITOCHONDRIAL",60,disulfide oxidoreductase activity;flavin adenine dinucleotide binding,GO:0015036;GO:0050660
VC0187,Q9KVF9,RIBOSOMAL RNA LARGE SUBUNIT METHYLTRANSFERASE J,10,RNA methyltransferase activity;S-adenosylmethionine-dependent methyltransferase activity,GO:0008173;GO:0008757
VC0188,Q9KVF8,OLIGOPEPTIDASE A,13,metalloendopeptidase activity,GO:0004222
VC0189,Q9KVF7,,,,
VC0190,Q9KVF6,DNA HELICASE II,49,3'-5' DNA helicase activity;ATP binding;ATP-dependent DNA helicase activity,GO:0043138;GO:0005524;GO:0004003
VC0191,Q9KVF5,SUBFAMILY NOT NAMED,5,L-amino acid transmembrane transporter activity;neutral amino acid transmembrane transporter activity,GO:0015179;GO:0015175
VC0192,Q9KVF4,SUBFAMILY NOT NAMED,6,"",""
VC0193,Q9KVF3,,,,
VC0194,Q9KVF2,GLUTATHIONE HYDROLASE PROENZYME,16,"peptidase activity;transferase activity, transferring acyl groups",GO:0008233;GO:0016746
VC0195,Q9KVF1,PROTEIN RARD,20,"",""
VC0196,Q9KVF0,BLOOM SYNDROME PROTEIN,153,3'-5' DNA helicase activity;ATP-dependent DNA helicase activity;DNA binding,GO:0043138;GO:0004003;GO:0003677
VC0197,Q9KVE9,,,,
VC0198,Q9KVE8,,,,
VC0199,Q9KVE7,,,,
VC0200,Q9KVE6,FERRICHROME OUTER MEMBRANE TRANSPORTER/PHAGE RECEPTOR,15,"",""
VC0201,Q9KVE5,IRON(3+)-HYDROXAMATE IMPORT ATP-BINDING PROTEIN FHUC,4,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC0202,Q9KVE4,FE(3+) DICITRATE-BINDING PERIPLASMIC PROTEIN-RELATED,20,"",""
VC0203,Q9KVE3,IRON(3+)-HYDROXAMATE IMPORT SYSTEM PERMEASE PROTEIN FHUB,5,transporter activity,GO:0005215
VC0204,Q9KVE2,HTH-TYPE TRANSCRIPTIONAL REGULATOR MURR,5,DNA-binding transcription factor activity,GO:0003700
VC0205,Q9KVE1,,,,
VC0206,Q9KVE0,GLUCOKINASE REGULATORY PROTEIN,42,"",""
VC0207,Q9KVD9,PTS SYSTEM N-ACETYLMURAMIC ACID-SPECIFIC EIIBC COMPONENT,7,"active transmembrane transporter activity;carbohydrate transmembrane transporter activity;phosphotransferase activity, alcohol group as acceptor",GO:0022804;GO:0015144;GO:0016773
VC0208,Q9KVD8,UPF0114 PROTEIN YQHA,10,"",""
VC0209,Q9KVD7,UPF0701 PROTEIN YICC,26,"",""
VC0210,Q9KVD6,EXOSOME COMPLEX COMPONENT RRP41,132,"",""
VC0211,Q9KVD5,OROTATE PHOSPHORIBOSYLTRANSFERASE 1-RELATED,25,"",""
VC0212,Q9KVD4,LIPID A BIOSYNTHESIS MYRISTOYLTRANSFERASE,6,"",""
VC0213,Q9KVD3,,,,
VC0214,Q9KVD2,,,,
VC0215,Q9KVD1,PHOSPHOPANTOTHENOYLCYSTEINE DECARBOXYLASE,176,"",""
VC0216,Q9KVD0,,,,
VC0217,Q9KVC9,UPF0758 PROTEIN YEES-RELATED,39,"",""
VC0218,Q9KVC8,"50S RIBOSOMAL PROTEIN L28, CHLOROPLASTIC",63,structural constituent of ribosome,GO:0003735
VC0219,Q9KVC7,"39S RIBOSOMAL PROTEIN L33, MITOCHONDRIAL-RELATED",60,structural constituent of ribosome,GO:0003735
VC0220,Q9KVC6,,,,
VC0221,Q9KVC5,ENDONUCLEASE 8-LIKE 1,99,"catalytic activity, acting on DNA;hydrolase activity",GO:0140097;GO:0016787
VC0222,Q9KVC4,PHOSPHOPANTETHEINE ADENYLYLTRANSFERASE,35,acetyltransferase activity,GO:0016407
VC0223,Q9KVC3,SUBFAMILY NOT NAMED,7,"transferase activity, transferring glycosyl groups",GO:0016757
VC0224,Q9KVC2,SUBFAMILY NOT NAMED,19,"",""
VC0225,Q9KVC1,,,,
VC0226,Q9KVC0,,,,
VC0227,Q9KVB9,,,,
VC0228,Q9KVB8,,,,
VC0229,Q9KVB7,,,,
VC0230,Q9KVB6,,,,
VC0231,Q9KVB5,,,,
VC0232,Q9KVB4,,,,
VC0233,Q9KVB3,"3-DEOXY-D-MANNO-OCTULOSONIC ACID TRANSFERASE, MITOCHONDRIAL-RELATED",56,transferase activity,GO:0016740
VC0234,Q9KVB2,MANNOSYL PHOSPHORYLINOSITOL CERAMIDE SYNTHASE CSH1-RELATED,49,mannosyltransferase activity,GO:0000030
VC0235,Q9KVB1,,,,
VC0236,Q9KVB0,ADP-HEPTOSE--LPS HEPTOSYLTRANSFERASE 2,23,"",""
VC0237,H9L4P0,SUBFAMILY NOT NAMED,8,"",""
VC0238,Q9KVA8,,,,
VC0239,Q9KVA7,SUBFAMILY NOT NAMED,20,"",""
VC0240,Q06963,ADP-L-GLYCERO-D-MANNO-HEPTOSE-6-EPIMERASE,22,hydro-lyase activity;oxidoreductase activity,GO:0016836;GO:0016491
VC0241,Q07024,MANNOSE-1-PHOSPHATE GUANYLYLTRANSFERASE,30,"",""
VC0242,Q06951,PHOSPHOMANNOMUTASE,12,"",""
VC0243,Q06952,"GDP-MANNOSE 4,6 DEHYDRATASE",136,hydro-lyase activity,GO:0016836
VC0244,Q9KVA5,SUBFAMILY NOT NAMED,12,anion binding;cofactor binding;drug binding;heterocyclic compound binding;organic cyclic compound binding;small molecule binding;transferase activity,GO:0043168;GO:0048037;GO:0008144;GO:1901363;GO:0097159;GO:0036094;GO:0016740
VC0245,Q9KVA4,,,,
VC0246,Q9KVA3,SUBFAMILY NOT NAMED,15,"",""
VC0247,Q9KVA2,SUBFAMILY NOT NAMED,4,"",""
VC0248,Q9KVA1,,,,
VC0249,H9L4Q1,SUBFAMILY NOT NAMED,12,ligase activity;transporter activity,GO:0016874;GO:0005215
VC0250,Q9KVA0,,,,
VC0251,Q9KV99,,,,
VC0252,H9L4Q4,SUBFAMILY NOT NAMED,2,acetyltransferase activity;lyase activity,GO:0016407;GO:0016829
VC0253,Q9KV98,,,,
VC0255,Q9KV97,,,,
VC0256,Q9K344,,,,
VC0257,Q9K3D5,TRANSPOSASE INSO FOR INSERTION SEQUENCE ELEMENT IS911A-RELATED,8,"",""
VC0258,Q9KV96,SUBFAMILY NOT NAMED,10,"",""
VC0259,H9L4P1,SUBFAMILY NOT NAMED,3,"transferase activity, transferring glycosyl groups",GO:0016757
VC0260,H9L4R0,SUBFAMILY NOT NAMED,22,hydro-lyase activity;oxidoreductase activity,GO:0016836;GO:0016491
VC0261,Q9KV95,,,,
VC0262,Q9KV94,SUBFAMILY NOT NAMED,4,hydro-lyase activity;oxidoreductase activity,GO:0016836;GO:0016491
VC0263,Q9KV93,SUBFAMILY NOT NAMED,14,"",""
VC0264,Q9KV92,INTEGRATOR COMPLEX SUBUNIT 11,106,"",""
VC0265,Q9KV91,MINICONDUCTANCE MECHANOSENSITIVE CHANNEL YBDG,8,gated channel activity,GO:0022836
VC0266,Q9KV90,SUBFAMILY NOT NAMED,5,"",""
VC0267,Q9KV89,ZGC:136493,41,"",""
VC0268,Q9KV88,,,,
VC0269,Q9KV87,,,,
VC0270,Q9KV86,D-ALLOSE KINASE-RELATED,7,"",""
VC0271,Q9KV85,SUBFAMILY NOT NAMED,4,"",""
VC0272,Q9KV84,,,,
VC0273,Q9KV83,DNA-BINDING PROTEIN HU-ALPHA,7,DNA binding,GO:0003677
VC0274,Q9KV82,,,,
VC0275,Q9KV81,"PHOSPHORIBOSYLAMINE--GLYCINE LIGASE, CHLOROPLASTIC",78,hydrolase activity;ligase activity;transferase activity,GO:0016787;GO:0016874;GO:0016740
VC0276,Q9KV80,BIFUNCTIONAL PURINE BIOSYNTHESIS PROTEIN PURH,149,hydrolase activity;methyltransferase activity,GO:0016787;GO:0008168
VC0277,Q9KV79,,,,
VC0278,Q9KV78,,,,
VC0279,Q9KV77,,,,
VC0280,Q9KV76,CADAVERINE/LYSINE ANTIPORTER-RELATED,3,amino acid transmembrane transporter activity,GO:0015171
VC0281,Q9KV75,INDUCIBLE LYSINE DECARBOXYLASE,7,"",""
VC0282,Q9KV74,,,,
VC0283,Q9KV73,SUBFAMILY NOT NAMED,6,"",""
VC0285,Q9KV72,KHG/KDPG ALDOLASE,15,"",""
VC0286,Q9KV71,INNER MEMBRANE PERMEASE YGBN,5,"",""
VC0287,Q9KV70,GLUCONOKINASE-RELATED,90,"kinase activity;phosphotransferase activity, alcohol group as acceptor",GO:0016301;GO:0016773
VC0288,Q9KV69,PHOSPHOGLUCONATE DEHYDRATASE,9,"",""
VC0289,Q9KV68,HTH-TYPE TRANSCRIPTIONAL REGULATOR GNTR,6,DNA binding;DNA-binding transcription factor activity,GO:0003677;GO:0003700
VC0290,P64127,DNA-BINDING PROTEIN FIS,10,sequence-specific DNA binding,GO:0043565
VC0291,Q9KV66,TRNA-DIHYDROURIDINE(20A/20B) SYNTHASE [NAD(P)+]-LIKE,78,"",""
VC0292,Q9KV65,,,,
VC0293,Q9KV64,ELECTRON TRANSFER FLAVOPROTEIN BETA SUBUNIT LYSINE METHYLTRANSFERASE,98,RNA methyltransferase activity;nucleic acid binding,GO:0008173;GO:0003676
VC0294,Q9KV63,,,,
VC0295,Q9KV62,"BIOTIN CARBOXYLASE, CHLOROPLASTIC",78,ligase activity,GO:0016874
VC0296,Q9KV61,"BIOTIN CARBOXYL CARRIER PROTEIN OF ACETYL-COA CARBOXYLASE 1, CHLOROPLASTIC",64,acetyltransferase activity,GO:0016407
VC0297,Q9KV60,SUBFAMILY NOT NAMED,25,"",""
VC0298,Q9KV59,ACETYL-COENZYME A SYNTHETASE,6,"",""
VC0299,Q9KV58,SUBFAMILY NOT NAMED,3,3'-5' exonuclease activity,GO:0008408
VC0300,Q9KV57,SUBFAMILY NOT NAMED,19,"",""
VC0301,Q9KV56,,,,
VC0302,Q9KV55,3-PHENYLPROPIONIC ACID TRANSPORTER-RELATED,7,carbohydrate binding;carbohydrate transmembrane transporter activity;solute:proton symporter activity,GO:0030246;GO:0015144;GO:0015295
VC0303,Q9KV54,SUBFAMILY NOT NAMED,11,"",""
VC0304,Q9KV53,"GUANOSINE-5'-TRIPHOSPHATE,3'-DIPHOSPHATE PYROPHOSPHATASE",5,pyrophosphatase activity,GO:0016462
VC0305,Q9KV52,ATP-DEPENDENT RNA HELICASE RHLB,9,"",""
VC0306,Q9KV51,THIOREDOXIN 1,38,disulfide oxidoreductase activity,GO:0015036
VC0307,Q9KV50,TRANSCRIPTION TERMINATION FACTOR RHO,36,"",""
VC0308,Q9KV49,,,,
VC0309,Q9KV48,FERULIC ACID DECARBOXYLASE 1,27,lyase activity,GO:0016829
VC0311,Q9KV47,,,,
VC0312,Q9KV46,SUBFAMILY NOT NAMED,6,"",""
VC0313,Q9KV45,,,,
VC0314,Q9KV44,,,,
VC0315,Q9KV43,"CDP-DIACYLGLYCEROL--GLYCEROL-3-PHOSPHATE 3-PHOSPHATIDYLTRANSFERASE, MITOCHONDRIAL",66,"",""
VC0316,Q9KV42,,,,
VC0317,Q9KV41,,,,
VC0318,Q9KV40,UDP-N-ACETYLENOLPYRUVOYLGLUCOSAMINE REDUCTASE,51,"",""
VC0319,Q9KV39,"HOLOCARBOXYLASE SYNTHETASE, ISOFORM C",123,ligase activity,GO:0016874
VC0320,Q9KV38,PANTOTHENATE KINASE,14,"kinase activity;phosphotransferase activity, alcohol group as acceptor",GO:0016301;GO:0016773
VC0321,Q9KV37,,,,
VC0322,Q9KV36,PROTEIN TRANSLOCASE SUBUNIT SECE,28,"",""
VC0323,Q9KV35,TRANSCRIPTION TERMINATION/ANTITERMINATION PROTEIN NUSG,35,"",""
VC0324,Q9KV34,"39S RIBOSOMAL PROTEIN L11, MITOCHONDRIAL",138,rRNA binding;structural constituent of ribosome,GO:0019843;GO:0003735
VC0325,Q9KV33,RIBOSOMAL PROTEIN L1P/L10E FAMILY,42,"",""
VC0326,Q9KV32,"39S RIBOSOMAL PROTEIN L10, MITOCHONDRIAL",121,structural constituent of ribosome,GO:0003735
VC0327,Q9KV31,"50S RIBOSOMAL PROTEIN L12-1, CHLOROPLASTIC-RELATED",91,"",""
VC0328,Q9KV30,DNA-DIRECTED RNA POLYMERASE SUBUNIT BETA,95,DNA-directed 5'-3' RNA polymerase activity,GO:0003899
VC0329,Q9KV29,DNA-DIRECTED RNA POLYMERASE SUBUNIT BETA',91,DNA-directed 5'-3' RNA polymerase activity,GO:0003899
